Rotational constant B for ν =  0 (invcm) :     0.16516757719207335597E+01    -0.10216165717141204456E-14 i
Rotational constant B for ν =  1 (invcm) :     0.16424779083810141511E+01     0.30870537792427988939E-14 i
Rotational constant B for ν =  2 (invcm) :     0.16219440804230709219E+01    -0.13985510179341784228E-14 i
Rotational constant B for ν =  3 (invcm) :     0.16006904466662699171E+01    -0.63219761317853106930E-14 i
Rotational constant B for ν =  4 (invcm) :     0.15848476977434928781E+01     0.66622073004913376092E-14 i
Rotational constant B for ν =  5 (invcm) :     0.15676794682391224089E+01    -0.19215130158175630055E-14 i
Rotational constant B for ν =  6 (invcm) :     0.15456124627543361694E+01    -0.39725040354088277807E-14 i
Rotational constant B for ν =  7 (invcm) :     0.15235244673778001179E+01     0.19460019145352147096E-14 i
Rotational constant B for ν =  8 (invcm) :     0.15070944130219128265E+01     0.93193972635329510673E-14 i
Rotational constant B for ν =  9 (invcm) :     0.14937405991662642268E+01     0.83803010379523428299E-15 i
Rotational constant B for ν = 10 (invcm) :     0.14773978658706095057E+01    -0.20251242538827200465E-17 i
Rotational constant B for ν = 11 (invcm) :     0.14573278535305809189E+01    -0.44340404871525667983E-14 i
Rotational constant B for ν = 12 (invcm) :     0.14372709382628447994E+01     0.32478599378358235564E-16 i
Rotational constant B for ν = 13 (invcm) :     0.14212641082039116913E+01    -0.10707607718896020007E-13 i
Rotational constant B for ν = 14 (invcm) :     0.14087040036346496485E+01    -0.13664019217023708325E-14 i
Rotational constant B for ν = 15 (invcm) :     0.13949584194462605335E+01    -0.61513527912849253841E-14 i
Rotational constant B for ν = 16 (invcm) :     0.13783746665295490974E+01     0.16152919693255861517E-14 i
Rotational constant B for ν = 17 (invcm) :     0.13596412066097340876E+01     0.12942493303324698856E-13 i
Rotational constant B for ν = 18 (invcm) :     0.13405020369655722412E+01     0.32388065042785883823E-14 i
Rotational constant B for ν = 19 (invcm) :     0.13221108274134061311E+01     0.11447148581699847048E-13 i
Rotational constant B for ν = 20 (invcm) :     0.13045940084919438462E+01     0.15637626546135158894E-13 i
Rotational constant B for ν = 21 (invcm) :     0.12887384383379318908E+01    -0.15546032330195265435E-13 i
Rotational constant B for ν = 22 (invcm) :     0.12747982700723654581E+01     0.90243956782729149306E-14 i
Rotational constant B for ν = 23 (invcm) :     0.12629775224876864659E+01    -0.77088082007996788059E-15 i
Rotational constant B for ν = 24 (invcm) :     0.12518874394481853685E+01     0.14259150785279813342E-13 i
Rotational constant B for ν = 25 (invcm) :     0.12401131277263450770E+01     0.11561770773695074949E-13 i
Rotational constant B for ν = 26 (invcm) :     0.12243214383137210888E+01     0.13123819197739820893E-13 i
Rotational constant B for ν = 27 (invcm) :     0.12029098008702709954E+01    -0.23149284993156477456E-13 i
Rotational constant B for ν = 28 (invcm) :     0.11774328420284814190E+01    -0.17694671871804094621E-13 i
Rotational constant B for ν = 29 (invcm) :     0.11550581843028333573E+01    -0.52373169309813349131E-15 i
Rotational constant B for ν = 30 (invcm) :     0.11389474672338510963E+01    -0.26314333015108001783E-13 i
Rotational constant B for ν = 31 (invcm) :     0.11244220846471684183E+01     0.25244761426661024109E-14 i
Rotational constant B for ν = 32 (invcm) :     0.11081794084973375369E+01     0.70852891753711130591E-14 i
Rotational constant B for ν = 33 (invcm) :     0.10916900580846693458E+01    -0.74117610841529331534E-14 i
Rotational constant B for ν = 34 (invcm) :     0.10751149719141983585E+01    -0.85278288633903243705E-14 i
Rotational constant B for ν = 35 (invcm) :     0.10569008927677703280E+01     0.39091394878656677434E-14 i
Rotational constant B for ν = 36 (invcm) :     0.10366708454348827484E+01    -0.11938044524744308284E-13 i
Rotational constant B for ν = 37 (invcm) :     0.10150728336096519477E+01     0.15818357591947176702E-13 i
Rotational constant B for ν = 38 (invcm) :     0.99561507005221305810E+00     0.19470767327308517368E-13 i
Rotational constant B for ν = 39 (invcm) :     0.97869015382565371919E+00     0.13272935185036130576E-13 i
Rotational constant B for ν = 40 (invcm) :     0.95816304480946734579E+00    -0.71794344361527584774E-14 i
Rotational constant B for ν = 41 (invcm) :     0.92950941968939571058E+00    -0.58870442648908693064E-14 i
Rotational constant B for ν = 42 (invcm) :     0.90320435956162536950E+00    -0.58739666880076648079E-14 i
Rotational constant B for ν = 43 (invcm) :     0.88883803805289651745E+00    -0.27464243951070190035E-14 i
Rotational constant B for ν = 44 (invcm) :     0.87437747935997844895E+00     0.18557346001728230972E-14 i
Rotational constant B for ν = 45 (invcm) :     0.85506420862067855637E+00     0.47804604944673487809E-14 i
Rotational constant B for ν = 46 (invcm) :     0.83379664952505250231E+00     0.95874885706516568695E-14 i
Rotational constant B for ν = 47 (invcm) :     0.79936840470536885128E+00     0.52032162903468385217E-14 i
Rotational constant B for ν = 48 (invcm) :     0.75504047770724946886E+00     0.28362505024375843354E-14 i
Rotational constant B for ν = 49 (invcm) :     0.74373438371768874067E+00    -0.29862360460003325321E-14 i
Rotational constant B for ν = 50 (invcm) :     0.72894971654125562122E+00    -0.50577471014407025139E-14 i
Rotational constant B for ν = 51 (invcm) :     0.67994140208255027247E+00    -0.95672933288883848354E-14 i
Rotational constant B for ν = 52 (invcm) :     0.65586563658475216521E+00    -0.55858671144811337538E-14 i
Rotational constant B for ν = 53 (invcm) :     0.58385649801428252115E+00     0.10877004170324537799E-15 i
Rotational constant B for ν = 54 (invcm) :     0.50621578045895176956E+00    -0.49566926326291268328E-13 i
Rotational constant B for ν = 55 (invcm) :     0.46744482013471183590E+00    -0.17466017521407751412E-10 i
