    0.11999999999999999556E+01    0.00000000000000000000E+00    0.00000000000000000000E+00
    0.12087877968068068135E+01    0.40878912860713163031E-11   -0.30392142664123708778E-17
    0.12175755936136136715E+01   -0.61071685415126374814E-11   -0.34459394921447386846E-17
    0.12263633904204203073E+01   -0.58251586904594210411E-11   -0.24283035690167725308E-17
    0.12351511872272271653E+01    0.13107915293767294920E-10   -0.66731336435461429483E-19
    0.12439389840340340232E+01    0.12997459230602663714E-10   -0.44208613788079123716E-18
    0.12527267808408408811E+01   -0.24190855873745412399E-10   -0.47379144125565034230E-17
    0.12615145776476475170E+01   -0.55765902353624246462E-10   -0.71100438490429547219E-17
    0.12703023744544543749E+01   -0.32556711301036593081E-10   -0.17966275312313828336E-17
    0.12790901712612612329E+01    0.23290266858731720238E-10    0.71931907854903489477E-17
    0.12878779680680680908E+01    0.34578047085806432518E-10    0.88760277111519603235E-17
    0.12966657648748749487E+01   -0.23097823285815387413E-10    0.20699181265494179777E-18
    0.13054535616816815846E+01   -0.65914979142511348348E-10   -0.64367852491452886436E-17
    0.13142413584884884425E+01   -0.92059746775773640001E-11    0.14465366765773285491E-17
    0.13230291552952953005E+01    0.89693233761336868992E-10    0.16143845281834511303E-16
    0.13318169521021021584E+01    0.76152074282165328774E-10    0.15076476749539218987E-16
    0.13406047489089087943E+01   -0.77285264744954224638E-10   -0.91397699898452220759E-17
    0.13493925457157156522E+01   -0.16623900865320264353E-09   -0.32990306956784280296E-16
    0.13581803425225225102E+01   -0.76215695135002628323E-11   -0.30308283721020424848E-16
    0.13669681393293293681E+01    0.23671582627765066126E-09   -0.10271673889458949924E-16
    0.13757559361361360040E+01    0.18561708584539905088E-09   -0.76452015660023341017E-17
    0.13845437329429428619E+01   -0.21070775144009742783E-09   -0.27654141568518626684E-16
    0.13933315297497497198E+01   -0.42609175273219127738E-09   -0.20708559380880981651E-16
    0.14021193265565565778E+01   -0.60371532787833446412E-11    0.54557748030952808246E-16
    0.14109071233633634357E+01    0.61858127142613497996E-09    0.15149494417953382092E-15
    0.14196949201701700716E+01    0.46985570043988145943E-09    0.16755616549062432928E-15
    0.14284827169769769295E+01   -0.56106378850804405867E-09    0.81366369300907414656E-16
    0.14372705137837837874E+01   -0.11008499779012383609E-08    0.17422592454424725844E-16
    0.14460583105905906454E+01    0.17115473948311405525E-10    0.10075282333215759260E-15
    0.14548461073973975033E+01    0.16557739517270137172E-08    0.26831743689660779513E-15
    0.14636339042042041392E+01    0.12978420970866154799E-08    0.31573730345675858095E-15
    0.14724217010110109971E+01   -0.12328374773455091695E-08    0.16402283764323291523E-15
    0.14812094978178178550E+01   -0.21215274204684401338E-08    0.34416951375019884026E-17
    0.14899972946246244909E+01    0.22105495128861506905E-08    0.71461256583493316439E-16
    0.14987850914314313489E+01    0.10073822584706286878E-07    0.34414287272741946056E-15
    0.15075728882382382068E+01    0.18526755985260160333E-07    0.55038743901618003352E-15
    0.15163606850450450647E+01    0.35902272730999717147E-07    0.48864225169269244723E-15
    0.15251484818518519226E+01    0.93399641112844889671E-07    0.23833807949605420079E-15
