Energy for ν =  0 (eV) :    -0.76590145953806949564E+01     0.62600741931052444685E-14 i
Energy for ν =  1 (eV) :    -0.74526184963818593587E+01     0.11164996012741468069E-14 i
Energy for ν =  2 (eV) :    -0.72415923085554823047E+01    -0.94400001283906294215E-14 i
Energy for ν =  3 (eV) :    -0.70350865959706680997E+01    -0.62238070068340907596E-14 i
Energy for ν =  4 (eV) :    -0.68299548485632115558E+01    -0.10501837158224534419E-13 i
Energy for ν =  5 (eV) :    -0.66254509085621711151E+01     0.10594553511612734134E-13 i
Energy for ν =  6 (eV) :    -0.64244193638413618075E+01     0.72111620253690416009E-14 i
Energy for ν =  7 (eV) :    -0.62284228725283536932E+01     0.73549341417294795449E-14 i
Energy for ν =  8 (eV) :    -0.60358179952435717652E+01    -0.58787592338858115150E-14 i
Energy for ν =  9 (eV) :    -0.58444165105995216081E+01     0.66757022719522149604E-14 i
Energy for ν = 10 (eV) :    -0.56545684850857238501E+01    -0.97031091374811838600E-14 i
Energy for ν = 11 (eV) :    -0.54681005404537135206E+01     0.20779349108332924380E-14 i
Energy for ν = 12 (eV) :    -0.52859736711218126004E+01    -0.13022210779034021384E-13 i
Energy for ν = 13 (eV) :    -0.51072284218282666401E+01     0.38504741455908990934E-14 i
Energy for ν = 14 (eV) :    -0.49303197155511631067E+01    -0.93073101769520451209E-14 i
Energy for ν = 15 (eV) :    -0.47549835962805317990E+01     0.74296017256775979476E-14 i
Energy for ν = 16 (eV) :    -0.45820854377727275875E+01     0.12823212088696235366E-13 i
Energy for ν = 17 (eV) :    -0.44126225773569487387E+01     0.30566785981176580305E-14 i
Energy for ν = 18 (eV) :    -0.42469120481458668692E+01     0.12180060269729075294E-13 i
Energy for ν = 19 (eV) :    -0.40848633758409125249E+01     0.33254190190296199186E-14 i
Energy for ν = 20 (eV) :    -0.39260832261453875169E+01    -0.31667598345790289519E-14 i
Energy for ν = 21 (eV) :    -0.37702041600966920143E+01    -0.68131410931156423434E-14 i
Energy for ν = 22 (eV) :    -0.36165942750569408659E+01     0.54833541966050939853E-14 i
Energy for ν = 23 (eV) :    -0.34646604506740392715E+01     0.36063254216264643486E-14 i
Energy for ν = 24 (eV) :    -0.33139455514574001072E+01     0.15687748659128863673E-14 i
Energy for ν = 25 (eV) :    -0.31644430590472838460E+01     0.82719443321182927661E-14 i
Energy for ν = 26 (eV) :    -0.30167960889030434046E+01    -0.40172463706224864053E-14 i
Energy for ν = 27 (eV) :    -0.28724033094212644279E+01    -0.41969043973853860214E-14 i
Energy for ν = 28 (eV) :    -0.27326630671516234372E+01    -0.34441281411977331890E-14 i
Energy for ν = 29 (eV) :    -0.25976826681545044373E+01    -0.28041678327084387085E-14 i
Energy for ν = 30 (eV) :    -0.24659231957197507157E+01     0.43451641336558996741E-15 i
Energy for ν = 31 (eV) :    -0.23362366121739297498E+01    -0.32855504898386746144E-14 i
Energy for ν = 32 (eV) :    -0.22088005043231451197E+01    -0.15425131520862853664E-14 i
Energy for ν = 33 (eV) :    -0.20838977154548437021E+01     0.22149916028036146492E-15 i
Energy for ν = 34 (eV) :    -0.19614970602426236024E+01     0.36710204930522512986E-14 i
Energy for ν = 35 (eV) :    -0.18418093052582265035E+01    -0.33446443927889994388E-14 i
Energy for ν = 36 (eV) :    -0.17252785422894492129E+01     0.28971010576264247100E-14 i
Energy for ν = 37 (eV) :    -0.16123379674115010385E+01    -0.55567421730760032059E-15 i
Energy for ν = 38 (eV) :    -0.15028755160116948897E+01     0.13876550976360294450E-14 i
Energy for ν = 39 (eV) :    -0.13962025637366659581E+01     0.44445970100527590446E-15 i
Energy for ν = 40 (eV) :    -0.12922891838948002974E+01    -0.25465702305976388923E-14 i
Energy for ν = 41 (eV) :    -0.11926526917282851414E+01     0.22952613827419948118E-14 i
Energy for ν = 42 (eV) :    -0.10981017112623330245E+01     0.10808949430913666148E-14 i
Energy for ν = 43 (eV) :    -0.10066893709855340155E+01     0.10280975876049503727E-14 i
Energy for ν = 44 (eV) :    -0.91688188963192684966E+00     0.10288273527885782163E-14 i
Energy for ν = 45 (eV) :    -0.82956734923057340314E+00     0.26934432267463327203E-16 i
Energy for ν = 46 (eV) :    -0.74531493779894042451E+00     0.15496834608602308643E-14 i
Energy for ν = 47 (eV) :    -0.66531912632297041110E+00    -0.63951007814305278411E-15 i
Energy for ν = 48 (eV) :    -0.59258375592531820075E+00     0.14873521229884435547E-14 i
Energy for ν = 49 (eV) :    -0.52459865756929413561E+00     0.00000000000000000000E+00 i
Energy for ν = 50 (eV) :    -0.45672147511032562539E+00    -0.25176838593596817172E-15 i
Energy for ν = 51 (eV) :    -0.39443416002069769943E+00    -0.13289911514450530729E-14 i
Energy for ν = 52 (eV) :    -0.33794142613192035274E+00    -0.59583307965720897212E-15 i
Energy for ν = 53 (eV) :    -0.28744951492718151531E+00    -0.13397600316652244769E-15 i
Energy for ν = 54 (eV) :    -0.24963483874327466183E+00    -0.10226052139435438078E-14 i
Energy for ν = 55 (eV) :    -0.21995198029443591148E+00    -0.36582959857046225330E-12 i
Energy for ν = 56 (eV) :    -0.19339341116952651900E+00    -0.84915746681132236057E-10 i
Energy for ν = 57 (eV) :    -0.17053727876185195700E+00    -0.78813916404328037273E-08 i
Energy for ν = 58 (eV) :    -0.15074819450250664943E+00    -0.35047860889446004781E-06 i
Energy for ν = 59 (eV) :    -0.13301691750448732532E+00    -0.85654536090981441676E-05 i
Energy for ν = 60 (eV) :    -0.11715858979132906525E+00    -0.11022232071593276363E-03 i
